Application_mode,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Previous_qualification_grade,Admission_grade,Displaced,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade
18,0,1,0,0,20,127.0,121.8,1,7,7,11.4375,8,8,11.425
1,0,1,0,0,18,142.0,125.5,1,8,7,12.857142857142858,8,7,12.857142857142858
1,0,1,0,1,19,125.0,114.9,1,6,6,13.375,6,6,12.285714285714286
1,0,1,0,0,19,126.0,123.9,0,7,6,13.296666666666669,8,7,14.114285714285714
1,1,1,0,1,18,151.0,157.0,1,6,5,11.6,6,4,11.0
17,0,1,0,0,21,115.0,116.4,1,6,6,11.375,6,6,13.285714285714286
1,0,1,0,0,18,138.0,131.0,1,5,5,12.666666666666666,5,4,13.0
1,0,1,0,0,20,135.0,122.1,1,5,5,12.0,5,5,12.333333333333334
17,0,1,1,0,19,127.0,118.8,1,7,6,12.933333333333332,7,6,13.716666666666669
44,0,1,1,0,21,150.0,150.0,0,6,5,11.857142857142858,6,5,10.571428571428571
51,0,1,1,0,20,125.0,130.0,1,6,6,12.833333333333334,6,4,13.4
1,0,0,1,0,18,143.0,138.8,0,5,3,11.333333333333334,5,2,13.5
18,0,1,0,0,19,138.0,134.5,1,6,6,12.666666666666666,6,6,14.375
1,0,1,1,0,34,130.0,131.4,0,5,5,12.4,5,5,13.428571428571429
39,1,0,1,0,37,130.0,102.5,0,7,0,0.0,7,1,10.0
39,0,1,1,0,43,133.1,128.8,1,5,0,0.0,5,0,0.0
43,0,1,0,0,55,140.0,122.9,0,5,1,10.0,5,2,12.0
39,0,1,0,0,39,120.0,113.9,1,5,5,11.0,5,5,11.6
44,1,0,0,0,20,120.0,120.0,0,6,3,11.666666666666666,6,3,12.0
1,1,1,0,0,18,126.0,121.1,0,6,4,12.75,5,0,0.0
1,0,1,0,0,22,133.0,120.4,1,5,5,14.8,5,5,15.8
1,0,1,0,0,22,103.0,100.6,1,7,5,13.928,8,7,14.342857142857142
17,0,0,0,0,20,120.0,121.4,0,6,4,13.0,6,5,13.8
39,0,1,0,0,29,133.1,109.7,0,5,0,0.0,5,0,0.0
17,0,1,0,0,24,154.0,134.1,0,5,2,11.5,5,3,14.333333333333334
17,0,1,0,0,18,130.0,127.6,1,6,6,11.666666666666666,6,5,13.2
17,0,1,0,1,22,132.0,132.4,1,7,6,13.516666666666666,8,7,13.771428571428572
44,0,1,0,1,21,130.0,133.4,0,6,6,11.5,6,6,13.285714285714286
1,0,1,0,1,19,139.0,126.1,0,6,5,12.333333333333334,6,6,12.833333333333334
39,0,1,0,1,24,130.0,113.5,0,6,6,13.666666666666666,6,6,14.166666666666666
1,0,1,0,1,19,139.0,121.3,1,8,6,11.833333333333334,8,6,11.833333333333334
1,0,1,0,1,20,127.0,121.8,1,6,4,14.0,6,3,11.0
1,0,1,0,0,19,167.0,159.3,0,5,5,14.714285714285714,5,5,15.8
39,0,1,0,0,27,130.0,120.0,0,5,5,10.6,5,5,11.0
1,0,1,0,0,18,130.0,129.1,1,7,7,13.044444444444444,8,8,13.595
7,0,1,0,0,39,130.0,130.0,0,6,0,0.0,6,0,0.0
39,0,1,0,0,27,129.0,155.3,1,6,5,13.0,11,10,12.9
17,0,1,0,0,18,141.0,139.8,1,8,8,14.935,8,8,14.935
1,0,1,0,0,18,125.0,115.2,1,0,0,0.0,0,0,0.0
1,0,1,0,0,18,125.0,114.9,0,7,6,13.133333333333333,8,7,12.221428571428572
44,0,1,0,1,21,130.0,131.9,0,6,6,12.0,6,6,12.0
17,0,1,1,1,19,133.0,126.0,1,0,0,0.0,0,0,0.0
17,0,1,1,0,19,127.0,130.2,1,6,5,11.4,6,1,10.0
43,0,1,1,0,24,116.0,120.9,0,6,0,0.0,6,0,0.0
42,0,1,1,0,29,133.1,126.0,1,7,5,11.9,8,5,11.0
1,0,1,1,1,19,139.0,128.2,1,0,0,0.0,0,0,0.0
44,0,1,1,0,23,130.0,130.0,1,6,6,12.571428571428571,6,6,12.428571428571429
1,1,1,1,0,19,125.0,120.1,0,5,5,11.2,5,4,10.75
39,0,1,1,0,26,160.0,100.0,0,6,6,12.0,6,5,10.8
17,0,1,1,0,18,148.0,134.0,0,5,0,0.0,5,0,0.0
17,0,1,1,0,24,150.0,130.8,0,7,7,11.975,8,8,13.75
1,0,1,1,0,19,141.0,135.8,1,0,0,0.0,0,0,0.0
17,0,1,1,0,18,118.0,111.7,1,6,3,11.666666666666666,6,1,12.0
1,0,1,1,0,18,142.0,132.9,1,6,6,12.333333333333334,6,3,12.333333333333334
17,1,1,1,0,18,120.0,115.5,1,5,3,10.333333333333334,5,3,10.857142857142858
18,0,1,1,1,21,106.0,106.0,1,6,4,10.5,6,1,11.0
17,1,1,1,1,19,121.0,120.3,1,6,6,13.666666666666666,6,6,13.333333333333334
17,0,1,1,1,22,150.0,130.8,0,7,7,14.842857142857142,8,8,15.055555555555555
39,0,1,1,0,33,120.0,117.0,0,6,6,12.0,6,6,11.666666666666666
1,0,1,1,0,20,114.0,110.2,1,6,5,12.2,6,5,12.2
39,0,1,1,0,35,140.0,155.7,1,1,0,0.0,5,0,0.0
39,1,1,1,0,24,160.0,180.4,0,12,6,12.166666666666666,12,10,13.3
17,0,1,1,0,18,120.0,125.5,0,5,5,12.0,5,3,11.333333333333334
39,0,1,0,0,33,130.0,110.0,1,6,6,11.0,6,5,11.0
42,0,1,0,1,22,160.0,161.0,1,8,7,13.08,8,7,13.08
39,0,1,0,1,25,120.0,100.0,0,5,4,10.5,5,5,11.6
17,0,1,1,0,20,124.0,117.6,1,6,6,10.666666666666666,6,5,11.2
1,0,1,1,0,23,143.0,128.7,1,5,4,14.0,5,5,13.8
43,1,1,1,0,18,115.0,112.2,1,5,2,10.0,5,0,0.0
39,0,1,1,0,24,133.1,100.8,0,7,0,0.0,7,0,0.0
17,0,0,0,0,21,133.1,105.0,1,6,6,14.0,6,6,13.5
15,0,1,0,0,26,133.1,100.0,0,6,2,12.0,6,0,0.0
39,0,1,0,0,39,133.1,115.5,0,6,3,12.666666666666666,6,0,0.0
39,0,1,0,0,44,133.1,114.0,0,8,8,11.875,6,6,12.333333333333334
15,0,1,1,0,19,130.0,137.0,1,5,5,14.0,5,3,13.25
1,0,1,0,0,18,135.0,124.9,1,6,6,13.666666666666666,6,6,13.333333333333334
1,0,1,0,1,18,132.0,120.3,1,7,7,13.75,8,8,14.47777777777778
1,0,1,0,0,19,135.0,134.3,1,5,5,14.2,5,5,13.8
1,1,0,0,0,19,115.0,111.5,1,7,4,11.96,7,0,0.0
53,0,1,0,0,21,130.0,128.8,0,10,8,12.875,9,5,13.4
1,0,1,0,0,20,133.1,110.0,1,0,0,0.0,0,0,0.0
39,0,1,0,0,36,130.0,113.5,1,6,0,0.0,6,0,0.0
39,0,1,0,0,43,133.1,160.0,0,18,18,14.63157894736842,13,13,14.23076923076923
18,0,1,0,0,19,123.0,117.4,1,6,0,0.0,6,0,0.0
51,1,1,0,0,20,130.0,122.2,0,10,10,13.0,11,11,12.272727272727272
1,0,1,0,0,19,122.0,118.2,1,6,0,0.0,6,0,0.0
1,0,1,0,0,20,113.0,106.7,1,6,4,14.2,6,4,13.25
1,0,1,0,0,20,111.0,108.2,1,7,6,13.266666666666666,7,5,12.3
17,0,1,0,0,20,133.1,107.0,1,7,6,11.666666666666666,7,3,13.0
1,0,1,0,0,18,142.0,136.1,1,6,6,13.857142857142858,6,6,15.0
17,0,1,0,1,18,123.0,115.3,1,5,3,13.0,5,3,11.0
1,0,1,0,0,19,131.0,139.8,1,5,5,13.4,5,5,12.8
1,0,1,0,0,18,158.0,157.0,1,6,6,12.666666666666666,6,6,12.571428571428571
17,0,1,0,0,18,122.0,131.0,1,7,6,12.516666666666666,7,6,12.516666666666666
43,0,1,0,0,20,130.0,100.0,0,7,6,11.616666666666667,7,7,13.0
17,0,1,0,1,20,154.0,140.4,1,6,2,10.0,6,4,10.75
17,0,1,0,0,20,120.0,113.4,0,5,3,10.333333333333334,5,3,10.666666666666666
1,0,1,0,0,18,140.0,137.0,0,5,5,13.142857142857142,5,5,11.4
1,0,1,0,0,18,127.0,121.8,0,5,5,12.6,5,5,14.0
17,0,1,0,0,21,133.1,131.0,1,6,3,11.0,6,2,11.0
1,0,1,0,0,19,120.0,118.6,1,5,5,10.8,5,4,11.25
1,0,1,0,0,19,137.0,122.3,0,0,0,0.0,0,0,0.0
1,0,1,0,1,19,131.0,127.9,0,5,5,12.8,5,5,14.2
1,0,1,0,0,19,130.0,121.3,1,6,6,14.166666666666666,6,6,12.2
17,0,1,0,0,19,122.0,117.1,1,7,5,12.1,7,0,0.0
44,0,1,0,0,20,160.0,160.0,1,6,6,14.166666666666666,6,5,13.77777777777778
1,0,1,0,1,18,146.0,145.3,1,6,5,12.8,6,5,13.4
17,0,1,0,0,18,131.0,122.6,1,6,6,13.0,6,6,13.666666666666666
17,0,1,0,0,19,132.0,128.0,1,7,7,13.467142857142855,8,8,15.011111111111113
1,0,1,0,1,18,138.0,124.9,1,7,7,13.2375,8,7,13.742857142857144
17,0,1,0,0,18,130.0,123.7,1,6,6,12.333333333333334,6,6,13.0
1,0,1,0,0,19,126.0,120.1,1,5,5,12.4,5,5,14.6
17,0,1,0,0,19,148.0,131.7,1,7,5,14.0,7,0,0.0
43,0,1,0,0,20,130.0,133.2,0,9,9,11.666666666666666,7,7,11.714285714285714
1,1,0,0,1,19,117.0,109.3,0,6,5,12.0,6,4,12.5
17,0,1,0,0,20,120.0,113.0,1,5,4,12.2,5,4,11.5
1,1,1,0,1,18,153.0,157.9,0,6,6,14.833333333333334,6,6,14.833333333333334
1,0,1,0,1,20,117.0,112.1,0,7,5,13.188,8,7,12.892857142857142
18,0,1,0,0,18,178.0,174.7,0,7,7,17.125,8,8,17.5875
1,0,1,0,0,19,129.0,128.8,1,7,6,12.666666666666666,7,6,12.666666666666666
1,0,1,0,1,19,116.0,110.1,1,6,6,12.666666666666666,6,5,12.0
51,1,0,0,0,22,99.0,99.7,1,5,0,0.0,5,0,0.0
1,0,1,0,1,19,135.0,121.0,1,6,6,11.333333333333334,6,6,11.5
1,0,1,0,1,19,141.0,131.7,1,7,7,13.605,8,8,12.33125
17,0,1,0,1,19,132.0,119.1,1,6,5,12.0,6,5,10.8
1,0,1,0,0,19,132.0,124.7,1,5,0,0.0,5,0,0.0
17,0,1,0,0,20,113.0,117.2,1,6,5,11.2,6,3,11.666666666666666
1,0,1,0,0,18,134.0,128.8,0,5,5,13.375,5,5,14.166666666666666
1,0,1,0,1,20,136.0,131.5,0,7,6,13.863333333333337,8,7,14.178571428571429
1,0,1,0,0,18,136.0,121.7,1,0,0,0.0,0,0,0.0
1,0,1,0,0,19,129.0,123.4,0,5,5,12.4,5,5,13.4
17,0,1,0,0,18,138.0,124.7,1,6,3,12.333333333333334,6,5,10.833333333333334
1,0,1,0,0,18,137.0,132.8,1,6,6,13.333333333333334,6,5,11.8
43,0,1,0,0,21,115.0,108.7,1,6,3,12.666666666666666,6,3,10.0
1,0,1,0,0,19,129.0,138.1,0,6,6,12.0,6,4,11.5
1,0,1,0,1,18,131.0,126.5,0,5,5,10.6,5,5,11.8
17,0,1,0,1,18,133.0,127.4,1,6,6,12.25,6,6,11.857142857142858
1,0,1,0,0,20,125.0,123.6,1,6,4,11.0,6,6,11.833333333333334
39,0,1,0,1,24,120.0,122.0,0,6,5,11.0,6,5,12.6
1,0,1,0,0,19,128.0,118.2,0,6,6,13.166666666666666,6,6,13.0
1,0,1,0,1,18,127.0,123.9,1,7,7,12.855555555555554,8,7,12.761111111111113
1,0,1,0,0,18,134.0,125.8,1,7,7,14.91875,8,8,15.355
17,0,1,0,0,21,132.0,123.3,1,6,4,11.5,6,3,11.0
17,0,1,0,0,19,124.0,124.4,0,5,5,14.2,5,5,14.2
17,0,1,0,1,19,133.1,126.0,0,6,6,12.5,6,6,13.0
39,1,1,0,0,47,170.0,170.0,0,1,0,0.0,6,0,0.0
17,0,1,0,0,19,125.0,121.5,0,6,5,11.666666666666666,6,4,11.0
39,0,1,0,0,29,130.0,130.0,0,8,7,14.257142857142856,8,7,14.257142857142856
43,0,1,0,0,21,125.0,117.0,1,6,3,12.0,6,2,11.333333333333334
39,0,1,0,0,28,130.0,130.0,1,5,4,11.25,5,4,10.5
17,0,1,0,0,20,133.1,108.0,0,7,7,12.457142857142856,8,8,13.5625
17,0,1,0,0,19,131.0,132.3,1,7,6,11.683333333333332,7,6,11.683333333333332
42,0,1,0,0,26,150.0,148.0,0,6,3,11.666666666666666,6,5,12.0
17,1,0,0,0,20,125.0,122.6,1,6,4,11.75,6,6,13.166666666666666
1,0,1,0,1,18,131.0,123.0,1,5,3,11.666666666666666,5,4,13.5
39,0,1,0,0,27,130.0,102.5,0,6,5,13.2,6,5,12.0
1,0,1,0,0,20,123.0,113.3,1,7,4,11.95,7,4,11.95
1,0,1,0,0,18,141.0,133.0,1,6,5,12.4,6,5,10.4
7,0,1,0,0,33,140.0,140.0,0,7,6,14.35,8,6,14.583333333333334
43,0,1,0,0,35,140.0,128.3,1,21,21,12.61904761904762,19,19,12.789473684210526
44,0,1,0,1,26,140.0,140.0,0,6,6,12.666666666666666,6,6,13.166666666666666
39,1,0,0,0,27,133.1,104.0,0,6,5,12.0,6,0,0.0
18,0,0,0,0,19,131.0,122.3,1,6,6,12.166666666666666,6,0,0.0
17,0,1,0,0,20,143.0,135.0,0,6,0,0.0,6,0,0.0
18,1,0,0,0,20,132.0,119.1,1,5,3,10.0,5,3,10.571428571428571
43,1,0,0,0,21,143.0,126.6,0,10,8,11.5,6,4,10.0
17,0,1,0,1,18,141.0,129.0,1,7,6,13.05,7,6,13.05
39,0,1,0,0,24,133.1,162.3,1,6,2,11.0,6,0,0.0
17,0,1,0,0,20,148.0,163.4,1,6,6,11.5,6,6,12.0
1,0,1,0,1,21,125.0,121.5,0,6,6,12.0,6,6,12.5
1,0,1,0,0,23,120.0,122.8,0,6,2,10.0,5,1,10.0
39,0,1,0,0,24,140.0,118.0,1,5,0,0.0,5,0,0.0
51,0,1,0,0,21,139.0,134.0,0,6,0,0.0,6,0,0.0
1,0,1,0,0,18,142.0,129.8,1,8,7,12.242857142857144,8,7,12.242857142857144
39,0,1,0,0,27,130.0,152.0,1,5,0,0.0,5,0,0.0
18,0,1,0,0,18,126.0,122.8,1,8,8,12.93375,8,8,12.93375
7,0,1,0,0,35,150.0,150.0,0,5,0,0.0,5,0,0.0
1,0,1,0,0,18,130.0,131.8,0,7,7,12.571428571428571,7,7,14.428571428571429
39,0,1,0,0,35,120.0,105.9,0,3,3,11.816666666666668,3,3,11.333333333333334
1,0,1,0,0,19,138.0,132.1,1,5,4,13.75,5,4,14.333333333333334
1,0,1,0,0,20,127.0,127.4,1,6,6,11.166666666666666,6,6,11.333333333333334
1,0,1,0,0,18,140.0,129.5,1,8,7,12.324285714285711,8,7,12.324285714285711
44,1,1,0,0,21,130.0,126.7,0,6,6,12.166666666666666,6,6,11.714285714285714
17,0,1,0,1,18,128.0,116.5,0,6,5,11.142857142857142,6,4,11.25
1,0,1,0,0,18,132.0,119.1,1,6,4,11.0,6,4,10.75
1,0,1,0,0,18,149.0,126.5,1,8,7,12.914285714285713,8,7,12.914285714285713
1,0,1,0,1,18,155.0,149.8,1,6,6,13.833333333333334,6,6,14.166666666666666
1,0,1,0,0,19,120.0,115.1,1,6,6,13.857142857142858,6,5,13.4
39,0,1,0,1,36,133.1,124.5,0,6,6,13.714285714285714,6,5,12.8
1,0,1,0,1,18,131.0,128.3,1,8,7,12.642857142857142,8,7,12.642857142857142
1,0,1,0,1,18,149.0,136.0,0,7,6,12.916666666666666,7,6,12.916666666666666
43,0,1,0,1,20,140.0,140.0,1,6,6,15.625,6,6,15.857142857142858
39,0,1,0,1,26,133.1,126.3,0,5,0,0.0,5,0,0.0
43,0,1,0,0,21,122.0,126.9,0,6,6,11.714285714285714,6,6,12.0
39,0,1,0,0,25,130.0,145.0,0,7,6,12.125,8,8,13.3125
18,0,1,0,1,19,121.0,115.8,1,5,5,11.6,5,5,11.6
39,0,1,0,0,24,120.0,100.0,1,6,1,10.0,6,0,0.0
39,0,1,0,1,27,133.1,102.5,0,6,1,10.0,6,0,0.0
17,0,1,0,0,21,121.0,131.5,0,5,0,0.0,5,2,13.5
1,0,1,0,1,18,133.0,147.0,0,5,4,13.0,5,3,12.333333333333334
1,0,1,0,1,19,134.0,122.5,0,6,6,13.333333333333334,6,6,14.5
1,0,1,0,0,18,115.0,117.5,1,6,4,11.25,6,2,12.5
51,0,1,0,1,19,127.0,150.0,0,7,5,13.85,8,7,12.19285714285714
18,0,1,0,1,19,135.0,127.5,1,7,6,13.741666666666667,8,7,14.9125
7,0,1,0,0,33,140.0,140.0,0,6,6,15.333333333333334,5,5,15.8
7,0,1,0,0,45,130.0,130.0,0,5,5,11.0,5,5,13.8
1,0,1,0,1,20,135.0,133.3,0,6,6,12.0,6,6,12.857142857142858
39,0,1,0,0,28,140.0,97.0,1,5,0,0.0,5,0,0.0
43,0,1,0,1,19,120.0,112.0,1,8,7,11.571428571428571,8,7,11.571428571428571
1,0,1,0,0,18,140.0,123.6,1,6,6,12.857142857142858,6,3,12.666666666666666
39,0,1,0,0,38,133.1,130.5,0,6,0,0.0,6,0,0.0
1,0,1,0,0,19,135.0,133.3,0,5,5,13.0,5,5,13.2
1,0,1,0,1,21,123.0,132.1,0,6,5,11.0,6,5,12.0
1,0,1,0,0,21,133.1,100.0,0,5,3,12.0,5,1,15.0
1,0,1,0,1,22,154.0,140.4,0,6,5,12.6,6,6,13.0
1,0,1,0,1,18,148.0,141.7,0,6,5,13.4,6,6,13.166666666666666
17,0,1,0,1,18,133.0,119.7,0,6,6,11.333333333333334,6,6,11.571428571428571
1,0,0,0,0,25,126.0,122.5,1,5,4,13.5,5,4,14.25
39,1,0,0,0,24,133.1,140.0,0,6,3,11.75,6,3,10.333333333333334
1,0,1,0,0,19,125.0,119.4,1,7,6,12.471428571428572,7,7,11.4625
16,0,1,0,0,24,145.0,155.0,1,17,11,12.909090909090908,13,9,13.555555555555555
1,0,1,0,1,20,118.0,119.1,1,5,5,11.6,5,5,13.6
39,0,0,0,0,25,120.0,122.7,0,5,0,0.0,5,0,0.0
1,0,1,0,1,20,127.0,117.9,0,10,9,12.9,10,10,12.363636363636363
7,0,1,0,0,23,130.0,130.0,0,8,8,13.22,8,8,13.22
17,0,1,0,1,19,129.0,120.0,1,8,7,13.151428571428571,8,7,13.151428571428571
44,1,0,0,0,29,130.0,130.0,0,6,3,12.75,6,3,11.333333333333334
1,0,1,0,0,21,121.0,116.8,1,6,6,11.333333333333334,6,4,12.25
1,0,1,0,1,18,136.0,123.4,1,6,6,13.25,6,5,14.142857142857142
1,0,1,0,0,19,125.0,125.4,1,6,5,12.4,6,5,12.4
1,0,1,0,1,18,131.0,127.2,1,6,6,15.0,6,6,12.833333333333334
1,0,1,0,0,19,122.0,103.4,0,5,5,14.4,5,5,13.0
1,0,1,0,0,18,127.0,123.2,1,6,1,11.0,6,0,0.0
17,0,1,0,0,18,136.0,124.1,0,5,5,12.4,5,5,10.8
39,1,0,0,1,37,133.1,99.5,1,7,1,16.0,7,0,0.0
17,0,1,0,0,29,127.0,124.9,0,5,5,13.571428571428571,5,5,12.333333333333334
17,0,1,0,0,18,116.0,110.8,0,6,6,11.833333333333334,6,6,12.5
1,0,1,0,1,19,121.0,118.9,1,6,5,11.666666666666666,6,5,12.666666666666666
43,1,0,0,0,22,124.0,118.8,1,10,6,11.833333333333334,7,2,13.0
1,0,1,0,1,20,131.0,137.0,0,6,6,11.166666666666666,6,5,10.6
39,0,1,0,0,34,100.0,100.0,0,6,0,0.0,6,0,0.0
43,1,0,0,0,30,130.0,120.0,0,12,8,11.75,12,6,12.166666666666666
1,0,1,0,0,18,135.0,122.8,0,6,6,14.0,6,6,14.0
1,0,1,0,0,18,130.0,121.6,0,6,6,12.833333333333334,6,6,12.0
1,0,1,0,0,18,146.0,149.2,1,6,4,12.25,6,3,11.666666666666666
17,0,1,0,0,18,146.0,140.0,1,8,7,14.828571428571427,8,7,14.828571428571427
1,0,1,0,1,19,154.0,133.4,1,6,5,11.4,6,5,12.8
1,0,1,0,1,19,137.0,126.2,1,6,6,13.0,6,6,12.5
1,0,1,0,1,18,151.0,127.8,0,8,7,13.671428571428573,8,7,13.671428571428573
44,0,1,0,1,21,150.0,150.0,0,6,6,12.666666666666666,6,5,12.8
1,0,0,0,0,20,121.0,113.7,1,5,2,10.0,5,1,13.0
17,0,1,0,0,20,122.0,117.8,1,5,5,13.5,5,5,12.333333333333334
1,0,1,0,0,19,143.0,136.7,0,7,7,12.67,8,8,13.55
1,0,1,0,0,20,152.0,144.7,0,6,6,14.5,6,6,15.428571428571429
17,0,1,0,0,18,145.0,139.8,1,7,7,13.685714285714283,8,8,15.3875
42,0,1,0,0,20,120.0,113.7,0,6,5,11.0,6,3,10.666666666666666
7,1,0,0,0,29,140.0,140.0,0,9,7,11.555555555555555,7,5,13.2
1,0,1,0,1,18,143.0,142.3,0,7,7,13.79714285714286,8,8,13.775
1,0,1,0,1,20,129.0,119.6,1,7,7,14.00375,8,7,13.812857142857142
16,0,1,0,1,22,139.0,123.7,1,5,4,12.0,5,4,11.4
1,0,1,0,1,47,133.1,143.0,1,6,5,14.166666666666666,6,6,14.166666666666666
51,0,1,0,0,31,127.0,100.1,0,5,5,14.0,5,5,13.8
1,0,1,0,1,21,126.0,119.4,0,6,5,13.8,6,6,12.833333333333334
1,0,1,0,0,21,128.0,122.1,0,6,5,12.8,6,6,11.857142857142858
39,0,1,0,0,24,100.0,100.0,0,6,6,12.166666666666666,6,6,13.833333333333334
17,0,1,0,0,18,123.0,113.9,0,6,6,12.5,6,6,12.333333333333334
39,0,1,0,0,32,170.0,101.0,0,6,4,12.0,6,4,11.5
18,0,1,0,1,19,117.0,111.8,1,6,6,10.833333333333334,6,6,11.5
39,0,1,0,0,24,140.0,140.0,1,8,8,13.385,8,8,13.385
17,0,1,0,0,19,123.0,124.4,1,6,6,15.666666666666666,6,6,14.5
44,1,1,0,1,19,150.0,150.0,0,6,6,14.333333333333334,6,6,13.833333333333334
44,0,1,0,0,24,140.0,140.0,0,6,6,11.428571428571429,6,5,13.0
17,0,1,0,1,18,123.0,116.0,1,6,6,11.666666666666666,6,6,11.666666666666666
1,0,1,0,1,19,130.0,135.6,1,6,5,12.0,6,2,11.333333333333334
1,0,1,0,1,19,137.0,121.0,0,8,7,14.725714285714288,8,7,14.725714285714288
17,0,1,0,1,18,126.0,118.7,1,6,6,14.166666666666666,6,6,13.666666666666666
1,0,1,0,0,18,125.0,125.7,1,6,6,11.571428571428571,6,6,12.333333333333334
17,0,1,0,0,20,112.0,107.1,1,7,7,12.5,8,8,13.1375
1,0,1,0,0,18,141.0,125.5,0,8,8,12.86,8,8,12.86
17,0,1,0,0,18,135.0,127.0,1,6,6,12.25,6,6,13.714285714285714
1,0,1,0,1,21,117.0,113.5,1,5,4,12.0,5,5,12.2
1,0,1,0,1,18,160.0,154.4,0,7,7,15.116666666666667,8,8,16.168888888888887
51,1,0,0,0,18,136.0,122.0,0,5,2,12.5,5,4,10.25
17,0,1,0,0,19,143.0,128.0,1,6,0,0.0,6,0,0.0
1,0,1,0,0,19,119.0,115.5,1,6,4,11.0,6,4,11.0
17,0,1,0,0,18,120.0,117.2,1,6,6,11.875,6,4,14.6
39,0,1,0,0,34,150.0,150.0,1,5,1,11.0,5,0,0.0
1,0,1,0,0,19,142.0,155.3,0,5,5,15.2,5,5,13.2
44,1,0,0,0,19,120.0,120.0,1,6,5,11.6,6,2,11.0
51,1,1,0,0,26,160.0,116.1,0,6,6,14.833333333333334,6,6,15.142857142857142
17,0,1,0,0,21,133.1,118.9,1,6,3,11.333333333333334,6,3,11.333333333333334
17,0,1,0,1,18,142.0,127.3,0,5,5,11.2,5,5,11.8
17,0,1,0,1,20,121.0,113.7,1,6,5,13.4,6,5,13.666666666666666
51,0,1,0,0,25,135.0,118.5,0,5,2,10.5,5,0,0.0
1,0,1,0,0,18,153.0,146.7,0,5,5,16.2,5,5,16.4
1,0,1,0,1,18,140.0,124.3,1,7,7,14.542857142857144,8,8,14.88181818181818
1,0,1,0,0,19,152.0,137.8,0,7,7,13.694285714285714,8,8,14.355555555555554
1,0,1,0,1,18,120.0,130.2,0,6,6,11.285714285714286,6,6,11.857142857142858
17,0,1,0,0,20,160.0,147.8,0,7,6,11.757142857142856,8,6,13.083333333333334
7,1,0,0,0,26,150.0,150.0,0,3,0,0.0,6,0,0.0
42,0,1,0,1,19,100.0,100.0,1,8,7,13.058571428571428,8,7,13.058571428571428
1,0,1,0,0,19,150.0,155.6,0,7,7,14.3,8,8,14.055555555555555
43,0,1,0,0,19,124.0,117.4,0,10,5,11.8,10,8,12.0
5,0,1,0,0,19,141.0,128.8,1,5,3,10.333333333333334,5,3,13.0
1,0,1,0,0,18,121.0,117.5,1,6,6,10.571428571428571,6,3,11.666666666666666
43,0,1,0,0,19,134.0,120.4,1,7,6,13.333333333333334,7,6,13.333333333333334
1,1,1,0,0,18,134.0,130.9,0,6,6,11.857142857142858,6,5,11.0
1,0,1,0,0,18,132.0,125.0,1,6,5,12.6,6,5,11.4
1,0,1,0,0,18,135.0,136.8,1,5,5,14.0,5,5,11.6
1,0,1,0,0,18,123.0,121.6,1,7,5,12.0,7,6,12.666666666666666
44,1,1,0,0,26,151.0,151.0,0,5,0,0.0,5,0,0.0
1,0,1,0,0,20,107.0,103.5,1,6,6,12.0,6,6,13.0
